#,Word,Pinyin,Meaning,Example Sentence,Pinyin,English
1,??,k?y?,can; may,???????,W? k?y? b?ng n? ma?,Can I help you?
2,??,juéde,to feel; to think,???????????,N? juéde zhège diàny?ng z?nmeyàng?,What do you think of this movie?
3,??,yìq?,together,?????????,W?men yìq? qù ch?fàn ba.,Let’s eat together.
4,??,y?nwèi,because,??????????,"W? chídào le, y?nwèi d?ch?.",I was late because of traffic.
5,??,su?y?,so; therefore,?????????????,"Ti?nqì h?n l?ng, su?y? w? chu?n le wàitào.","It’s cold, so I wore a coat."
6,??,k?néng,possible; maybe,???????,T? k?néng míngti?n lái.,He might come tomorrow.
7,??,shíji?n,time,??????,N? y?u shíji?n ma?,Do you have time?
8,??,zh?dào,to know,?????????,N? zh?dào t? de míngzì ma?,Do you know his name?
9,?,xi?ng,to want; to think,??????,W? xi?ng qù l?yóu.,I want to travel.
10,??,z?nme,how,???????,N? z?nme qù xuéxiào?,How do you go to school?
11,???,méi gu?nxi,it’s okay; no problem,????????,"Duìbuq?, méi gu?nxi.","Sorry, it’s okay."
12,??,y?j?ng,already,????????,W? y?j?ng ch? guò fàn le.,I have already eaten.
13,??,b?jiào,relatively; comparatively,????????,Zhège chéngshì b?jiào dà.,This city is relatively big.
14,??,x?wàng,to hope,?????????,W? x?wàng míngti?n ti?nqì h?o.,I hope the weather is good tomorrow.
15,??,h?n sh?o,rarely; seldom,????????,W? h?n sh?o qù diàny?ngyuàn.,I rarely go to the cinema.
16,??,biérén,other people,??????,Biérén d?u lái le.,Everyone else has come.
17,??,zàijiàn,goodbye,???????,"Míngti?n jiàn, zàijiàn!","See you tomorrow, goodbye!"
18,??,yìb?n,generally; normally,????????,W? yìb?n q? di?n q?chuáng.,I usually get up at seven.
19,??,juéde,to feel; to think,???????,N? juéde z?nmeyàng?,What do you think?
20,??,k?ish?,to begin; to start,??????,Huìyì k?ish? le.,The meeting has started.
21,??,hu?nyíng,welcome,???????,Hu?nyíng n? lái w? ji?.,Welcome to my home.
22,??,zh?ojí,anxious; worried,??????????,"Bù yòng zh?ojí, hái y?u shíji?n.","No need to worry, there’s still time."
23,??,yídìng,definitely,????????,N? yídìng huì chéngg?ng de.,You will definitely succeed.
24,??,c?nji?,to participate,?????????,W? xi?ng c?nji? zhège huódòng.,I want to join this activity.
25,??,gàosu,to tell,?????????,Q?ng gàosu w? n? de míngzi.,Please tell me your name.
26,??,li?oji?,to understand,?????????,W? bù li?oji? zhège wèntí.,I don't understand this problem.
27,??,zhòngyào,important,???????????,Zhè shì yí gè h?n zhòngyào de juédìng.,This is a very important decision.
28,??,b?ngzhù,to help,???????,Xièxie n? de b?ngzhù.,Thank you for your help.
29,??,d?nx?n,to worry,????????,M?ma z?ng shì d?nx?n w?.,Mom always worries about me.
30,??,j?huì,opportunity,????????,Zhè shì yí gè h?o j?huì.,This is a good opportunity.
31,??,chéngjì,result; grade,??????????,W? de Hàny? chéngjì tíg?o le.,My Chinese grades have improved.
32,??,xíguàn,habit; to get used to,??????????,W? y?j?ng xíguàn z?o shuì z?o q?.,I’m already used to sleeping and waking early.
33,??,biànhuà,change,???????????,Zhège chéngshì y?u le h?n dà biànhuà.,This city has changed a lot.
34,??,d?suàn,plan; intend,??????????,W? d?suàn xià gè yuè qù Zh?ngguó.,I plan to go to China next month.
35,??,juédìng,decision; to decide,????????,T? juédìng ch?guó liúxué.,He decided to study abroad.
36,??,tíg?o,to improve,??????????,W? de Hàny? shu?píng tíg?o le.,My Chinese level has improved.
37,??,zhùyì,to pay attention,??????,Q?ng zhùyì ?nquán.,Please pay attention to safety.
38,??,rènwéi,to think (opinion),????????,W? rènwéi t? shu? de duì.,I think what he said is right.
39,??,yìbi?n,while…,?????????????,"W? yìbi?n t?ng y?nyuè, yìbi?n zuò zuòyè.",I do homework while listening to music.
40,??,y?ngxi?ng,to influence,????????,Ti?nqì huì y?ngxi?ng x?nqíng.,Weather can influence mood.
41,??,zuìjìn,recently,???????,N? zuìjìn z?nme yàng?,How have you been recently?
42,??,y?qián,before; in the past,?????????,W? y?qián bù x?hu?n yùndòng.,I didn’t like sports before.
43,??,ránhòu,then; after that,???????????,"W? xi?n ch?fàn, ránhòu qù g?ngzuò.","I eat first, then go to work."
44,??,d?ngrán,of course,?????——???,N? huì lái ma? — D?ngrán!,Will you come? — Of course!
45,??,m?shàng,immediately,??????,W? m?shàng huílái.,I’ll be back right away.
46,??,yígòng,altogether,??????,Yígòng du?sh?o qián?,How much is it altogether?
47,??,bìx?,must,???????,N? bìx? qù y?yuàn.,You must go to the hospital.
48,??,yíyàng,the same,??????????,T?men chu?nzhe yíyàng de y?fu.,They are wearing the same clothes.
49,??,tèbié,especially,?????????,T? tèbié x?hu?n ch? miàntiáo.,He especially likes noodles.
50,??,jiéshù,to finish,???????,B?sài kuài jiéshù le.,The game is almost over.
51,?,f?,to send (message),????????,W? g?i n? f? le yóujiàn.,I sent you an email.
52,??,ji?nd?n,simple,????????,Zhège wèntí h?n ji?nd?n.,This problem is very simple.
53,?,nán,difficult,??????,Hàny? h?n nán ma?,Is Chinese very difficult?
54,??,kèren,guest,??????,Y?u kèren lái le.,A guest has arrived.
55,??,y?ngxi?ng,to affect,???????????,"T? sh?ngbìng le, y?ngxi?ng le k?oshì.","He got sick, which affected the exam."
56,??,q?f?i,to take off (plane),???????,F?ij? j? di?n q?f?i?,What time does the plane take off?
